"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"high-j","nouns modified by ""%w""","school-n",8254,8.17850,8.933
"different-j","nouns modified by ""%w""","way-n",8226,8.15076,9.270
"Tuesday-n","nouns modified by ""%w""","night-n",8195,8.12004,9.709
"high-j","nouns modified by ""%w""","standard-n",8186,8.11112,9.270
"next-j","nouns modified by ""%w""","time-n",8138,8.06356,8.098
"former-j","nouns modified by ""%w""","president-n",8132,8.05762,9.233
"joint-j","nouns modified by ""%w""","venture-n",8121,8.04672,11.899
"Goldman-n","nouns modified by ""%w""","Sachs-n",8121,8.04672,13.569
"world-n","nouns modified by ""%w""","championship-n",8113,8.03879,10.215
"new-j","nouns modified by ""%w""","generation-n",8108,8.03384,7.930
"Labour-n","nouns modified by ""%w""","Party-n",8063,7.98925,10.706
"Stock-n","nouns modified by ""%w""","Exchange-n",8059,7.98529,12.917
"market-n","nouns modified by ""%w""","share-n",8056,7.98231,10.544
"big-j","nouns modified by ""%w""","company-n",8040,7.96646,8.303
"railway-n","nouns modified by ""%w""","station-n",8039,7.96547,10.398
"other-j","nouns modified by ""%w""","player-n",8039,7.96547,7.915
"income-n","nouns modified by ""%w""","tax-n",8038,7.96448,11.145
"Sir-n","nouns modified by ""%w""","Ferguson-n",8031,7.95754,10.413
"own-j","nouns modified by ""%w""","life-n",8026,7.95259,8.845
"John-n","nouns modified by ""%w""","Major-n",8023,7.94961,10.127
"Wednesday-n","nouns modified by ""%w""","night-n",8003,7.92980,9.666
"Home-n","nouns modified by ""%w""","Secretary-n",7980,7.90701,11.248
"party-n","nouns modified by ""%w""","leader-n",7975,7.90205,9.739
"new-j","nouns modified by ""%w""","contract-n",7956,7.88323,7.878
"pension-n","nouns modified by ""%w""","fund-n",7950,7.87728,10.625
"Royal-n","nouns modified by ""%w""","Bank-n",7946,7.87332,10.244
"home-n","nouns modified by ""%w""","secretary-n",7942,7.86936,9.863
"European-j","nouns modified by ""%w""","country-n",7926,7.85350,9.724
"York-n","nouns modified by ""%w""","City-n",7913,7.84062,10.317
"blood-n","nouns modified by ""%w""","pressure-n",7888,7.81585,11.204
"good-j","nouns modified by ""%w""","reason-n",7869,7.79702,8.223
"balance-n","nouns modified by ""%w""","sheet-n",7859,7.78711,12.529
"Grand-n","nouns modified by ""%w""","Prix-n",7858,7.78612,12.119
"College-n","nouns modified by ""%w""","London-n",7852,7.78018,10.610
"new-j","nouns modified by ""%w""","variant-n",7826,7.75442,7.886
"first-j","nouns modified by ""%w""","week-n",7803,7.73163,7.659
"cent-n","nouns modified by ""%w""","rise-n",7787,7.71577,10.603
"member-n","nouns modified by ""%w""","state-n",7786,7.71478,10.684
"plan-n","verbs with ""%w"" as object","announce-v",7782,7.71082,10.127
"announce-v","objects of ""%w""","plan-n",7782,7.71082,10.127
"Buckingham-n","nouns modified by ""%w""","Palace-n",7778,7.70686,12.603
"Sunday-n","nouns modified by ""%w""","night-n",7775,7.70388,9.453
"New-n","nouns modified by ""%w""","City-n",7767,7.69596,9.197
"other-j","nouns modified by ""%w""","area-n",7760,7.68902,7.930
"breast-n","nouns modified by ""%w""","cancer-n",7749,7.67812,12.332
"South-n","nouns modified by ""%w""","Wales-n",7737,7.66623,10.413
"many-j","nouns modified by ""%w""","thing-n",7723,7.65236,8.340
"heart-n","nouns modified by ""%w""","disease-n",7712,7.64146,11.409
"social-j","nouns modified by ""%w""","worker-n",7705,7.63452,9.563
"Royal-n","nouns modified by ""%w""","College-n",7694,7.62362,10.215
"vice-j","nouns modified by ""%w""","president-n",7691,7.62065,11.226
"second-j","nouns modified by ""%w""","round-n",7677,7.60678,9.277
"many-j","nouns modified by ""%w""","other-n",7668,7.59786,8.889
"first-j","nouns modified by ""%w""","leg-n",7641,7.57111,8.120
"private-j","nouns modified by ""%w""","firm-n",7639,7.56913,9.636
"Daily-n","nouns modified by ""%w""","Mail-n",7628,7.55823,11.921
"Monday-n","nouns modified by ""%w""","night-n",7607,7.53742,9.578
"rural-j","nouns modified by ""%w""","area-n",7591,7.52157,9.812
"security-n","nouns modified by ""%w""","guard-n",7555,7.48590,10.815
"TV-n","nouns modified by ""%w""","show-n",7532,7.46311,9.951
"estate-n","nouns modified by ""%w""","agent-n",7530,7.46112,11.658
"related-j","nouns modified by ""%w""","post-n",7528,7.45914,11.731
"Barack-n","nouns modified by ""%w""","Obama-n",7522,7.45320,12.024
"last-j","nouns modified by ""%w""","November-n",7509,7.44032,7.842
"armed-j","nouns modified by ""%w""","force-n",7499,7.43041,10.581
"second-j","nouns modified by ""%w""","quarter-n",7493,7.42446,9.351
"Soviet-n","nouns modified by ""%w""","Union-n",7485,7.41654,11.855
"other-j","nouns modified by ""%w""","end-n",7485,7.41654,8.142
"Covid-19-n","nouns modified by ""%w""","vaccine-n",7483,7.41455,11.226
"former-j","nouns modified by ""%w""","chairman-n",7483,7.41455,9.124
"spending-n","nouns modified by ""%w""","cut-n",7470,7.40167,11.079
"football-n","nouns modified by ""%w""","club-n",7463,7.39474,10.208
"high-j","nouns modified by ""%w""","number-n",7461,7.39276,8.765
"swimming-n","nouns modified by ""%w""","pool-n",7440,7.37195,12.397
"final-j","nouns modified by ""%w""","day-n",7436,7.36798,8.962
"former-j","nouns modified by ""%w""","director-n",7423,7.35510,8.801
"announce-v","pronominal subjects of ""%w""","it-d",7423,7.35510,5.461
"Labour-n","nouns modified by ""%w""","leader-n",7377,7.30952,9.600
"new-j","nouns modified by ""%w""","deal-n",7369,7.30160,7.644
"US-n","nouns modified by ""%w""","Open-n",7364,7.29664,10.024
"Stamford-n","nouns modified by ""%w""","Bridge-n",7357,7.28971,12.683
"British-j","nouns modified by ""%w""","government-n",7350,7.28277,8.735
"Super-n","nouns modified by ""%w""","League-n",7324,7.25701,10.544
"Prince-n","nouns modified by ""%w""","Harry-n",7321,7.25404,12.075
"Web-n","nouns modified by ""%w""","site-n",7315,7.24809,10.955
"past-j","nouns modified by ""%w""","month-n",7312,7.24512,9.233
"second-j","nouns modified by ""%w""","place-n",7303,7.23620,8.926
"public-j","nouns modified by ""%w""","transport-n",7291,7.22431,9.541
"election-n","nouns modified by ""%w""","campaign-n",7268,7.20152,10.530
"middle-j","nouns modified by ""%w""","class-n",7255,7.18864,11.365
"other-j","nouns modified by ""%w""","company-n",7250,7.18369,7.659
"Mr-n","nouns modified by ""%w""","Clarke-n",7241,7.17477,8.486
"oil-n","nouns modified by ""%w""","price-n",7234,7.16783,9.805
"Jose-n","nouns modified by ""%w""","Mourinho-n",7226,7.15990,12.983
"Prince-n","nouns modified by ""%w""","Charles-n",7203,7.13712,12.039
"vaccine-n","nouns modified by ""%w""","rollout-n",7178,7.11234,11.775
"Foreign-n","nouns modified by ""%w""","Office-n",7172,7.10640,11.335
"young-j","nouns modified by ""%w""","girl-n",7168,7.10244,9.226
"royal-j","nouns modified by ""%w""","family-n",7152,7.08658,10.500
"red-j","nouns modified by ""%w""","card-n",7142,7.07667,10.435
"small-j","nouns modified by ""%w""","number-n",7135,7.06974,9.080
"real-j","nouns modified by ""%w""","life-n",7132,7.06676,9.277
"insurance-n","nouns modified by ""%w""","company-n",7128,7.06280,9.146
"West-n","nouns modified by ""%w""","Brom-n",7127,7.06181,10.706
"Nick-n","nouns modified by ""%w""","Clegg-n",7122,7.05686,12.075
"large-j","nouns modified by ""%w""","company-n",7097,7.03208,8.560
"Royal-n","nouns modified by ""%w""","Mail-n",7091,7.02614,10.596
"such-j","nouns modified by ""%w""","thing-n",7086,7.02119,8.845
"Tottenham-n","nouns modified by ""%w""","hotspur-n",7084,7.01920,13.049
"role-n","nouns modified by ""%w""","model-n",7081,7.01623,11.328
"Delta-n","nouns modified by ""%w""","variant-n",7076,7.01128,12.039
"power-n","nouns modified by ""%w""","station-n",7062,6.99740,9.944
"early-j","nouns modified by ""%w""","hour-n",7057,6.99245,9.592
"Thursday-n","nouns modified by ""%w""","night-n",7024,6.95975,9.490
"building-n","nouns modified by ""%w""","society-n",7001,6.93696,11.350
"right-j","nouns modified by ""%w""","time-n",6977,6.91318,8.362
"next-j","nouns modified by ""%w""","door-n",6975,6.91120,9.014
"serious-j","nouns modified by ""%w""","injury-n",6965,6.90129,10.332
"presidential-j","nouns modified by ""%w""","election-n",6963,6.89931,10.750
"general-j","nouns modified by ""%w""","manager-n",6961,6.89733,9.614
"second-j","nouns modified by ""%w""","war-n",6957,6.89337,9.124
"new-j","nouns modified by ""%w""","job-n",6954,6.89039,7.615
"High-n","nouns modified by ""%w""","School-n",6946,6.88247,10.559
"league-n","nouns modified by ""%w""","game-n",6933,6.86958,9.687
